경부선,세류,492,0,3385,794,7786,3408,15789,5355,11274,5964,7097,4329,6670,3823,5833,3965,5368,4051,5138,4238,4456,4298,4859,5026,5986,6138,8256,8146,7593,12016,5178,11188,4278,9239,3623,6907,2428,6247,738,3963,11,1368,0,0,0,0,0,0
경부선,오산대,228,1,2385,841,4206,2493,9630,4488,7445,7170,5795,5042,5105,4001,4570,3281,4569,3577,4734,3668,4885,3461,5358,4089,6251,5101,7419,6803,8176,8664,3707,7364,3225,6296,3070,5099,1919,4303,912,3625,36,175,0,0,0,0,0,0
3호선,을지로3가,5,1,620,984,1355,8617,2316,31588,4714,77233,8013,37686,10729,19592,12211,17033,12181,16444,14474,16411,16394,15344,18381,15214,20300,16042,35491,18997,68746,23157,33398,15401,22481,7453,21582,5584,18075,4260,10567,2746,1694,680,0,13,0,0,0,0
2호선,동대문역사문화공원,268,2,9054,1177,5897,9292,8020,25633,15275,63066,14942,42234,17625,39484,21819,39511,27255,40970,30936,46129,35824,43750,46164,39909,51321,38407,58402,40080,66288,45587,45971,46753,35839,34102,33504,27787,30323,21729,20140,14122,2903,4236,1,46,0,0,0,0
2호선,뚝섬,49,2,4556,2032,9720,14914,23203,30597,32859,121863,21655,65659,16828,29414,18283,25210,21229,26697,24519,29045,26254,27666,29896,28020,35391,29367,49594,33418,108195,45597,55333,31753,32574,18064,28558,16369,20207,15576,8526,11156,1250,3473,2,43,0,1,0,0
수인선,연수,4,0,2529,784,5952,2446,14355,5571,13371,12035,7852,7962,6677,6441,7180,6766,7629,7427,8288,8646,7503,7973,7969,7890,8890,9360,10427,12597,12421,18311,7746,12721,7102,9658,8914,7435,6712,5893,3717,4746,539,1172,0,1,0,0,0,0
수인선,숭의,6,0,2767,956,5160,2820,11516,8158,10758,11567,6434,5078,5828,4227,6084,4079,6274,4602,5637,4805,5533,4698,6142,4796,6743,5760,9325,7711,10725,10347,5151,6733,3232,5000,2646,5065,1893,4606,906,2752,17,1036,0,0,0,0,0,0
수인선,인천,97,0,396,107,868,1251,1962,2795,2365,4634,1567,2402,2082,3568,2112,5036,2618,5735,3043,5563,3234,5252,3589,5658,4043,4891,4040,4333,3092,4954,2124,3256,1853,2261,1758,2213,984,1997,233,1000,10,450,0,0,0,0,0,0
수인선,인하대,7,0,2678,459,7937,3373,19245,4277,16746,10638,8728,6443,7230,4720,7690,5449,7771,6787,8340,7381,7463,6586,8483,7644,11026,9536,11226,12948,11143,19000,6672,11509,5199,8508,4899,9150,4352,8997,2752,5476,81,1618,0,0,0,0,0,0
수인선,신포,1,0,1034,225,1298,1283,2806,3777,2842,8611,1962,3414,1857,2966,2356,3024,3476,3439,3127,3341,3094,2941,3545,3191,4585,3060,5049,3958,7238,4871,3149,3133,2913,1976,2732,1528,1719,1285,876,730,3,300,1,0,0,0,0,0
안산선,오이도,306,3,7214,112,17437,8409,36954,14533,30212,15742,19296,8713,16506,10059,16030,12459,16790,13542,15801,14657,15447,15128,15987,16589,17673,17748,22696,22519,22143,31122,14529,27093,11116,20335,9603,18458,7404,18010,2636,13842,165,5825,2,655,0,0,0,0
수인선,원인재,36,14,3251,615,6546,2382,14173,4546,15317,7106,9394,4631,6789,4284,7106,4835,7084,5348,7402,6204,6205,6161,6473,7181,7245,8350,7868,11461,8793,15946,5451,11930,4293,9669,4408,9384,3136,8213,2005,5838,270,2097,0,0,0,0,0,0
2호선,한양대,4,0,1292,376,2737,6349,5943,11886,9611,37607,7471,35119,6673,21169,10044,13791,11740,15220,11824,17108,12257,13891,14706,11356,23654,10762,33700,11109,29265,13521,14679,9435,11742,6434,11313,6414,9121,6429,5215,4439,1058,1448,2,3,0,0,0,0
